Sin@tp(S/cell)=,1.0e-6
Cal. Fct.=,0.9671
nux,nuy,V(V),DC(V)
0.10000,0.10000,29.4130,0.0000
0.10100,0.10100,29.6977,0.0000
0.10200,0.10200,29.9821,0.0000
0.10300,0.10300,30.2662,0.0000
0.10400,0.10400,30.5501,0.0000
0.10500,0.10500,30.8337,0.0000
0.10600,0.10600,31.1169,0.0000
0.10700,0.10700,31.3999,0.0000
0.10800,0.10800,31.6826,0.0000
0.10900,0.10900,31.9650,0.0000
0.11000,0.11000,32.2471,0.0000
0.11100,0.11100,32.5289,0.0000
0.11200,0.11200,32.8103,0.0000
0.11300,0.11300,33.0915,0.0000
0.11400,0.11400,33.3724,0.0000
0.11500,0.11500,33.6529,0.0000
0.11600,0.11600,33.9331,0.0000
0.11700,0.11700,34.2130,0.0000
0.11800,0.11800,34.4926,0.0000
0.11900,0.11900,34.7718,0.0000
0.12000,0.12000,35.0507,0.0000
0.12100,0.12100,35.3293,0.0000
0.12200,0.12200,35.6076,0.0000
0.12300,0.12300,35.8855,0.0000
0.12400,0.12400,36.1631,0.0000
0.12500,0.12500,36.4403,0.0000
0.12600,0.12600,36.7172,0.0000
0.12700,0.12700,36.9937,0.0000
0.12800,0.12800,37.2699,0.0000
0.12900,0.12900,37.5458,0.0000
0.13000,0.13000,37.8212,0.0000
0.13100,0.13100,38.0964,0.0000
0.13200,0.13200,38.3711,0.0000
0.13300,0.13300,38.6455,0.0000
0.13400,0.13400,38.9196,0.0000
0.13500,0.13500,39.1932,0.0000
0.13600,0.13600,39.4665,0.0000
0.13700,0.13700,39.7394,0.0000
0.13800,0.13800,40.0120,0.0000
0.13900,0.13900,40.2841,0.0000
0.14000,0.14000,40.5559,0.0000
0.14100,0.14100,40.8273,0.0000
0.14200,0.14200,41.0983,0.0000
0.14300,0.14300,41.3689,0.0000
0.14400,0.14400,41.6392,0.0000
0.14500,0.14500,41.9090,0.0000
0.14600,0.14600,42.1784,0.0000
0.14700,0.14700,42.4474,0.0000
0.14800,0.14800,42.7161,0.0000
0.14900,0.14900,42.9843,0.0000
0.15000,0.15000,43.2521,0.0000
0.15100,0.15100,43.5195,0.0000
0.15200,0.15200,43.7865,0.0000
0.15300,0.15300,44.0531,0.0000
0.15400,0.15400,44.3192,0.0000
0.15500,0.15500,44.5849,0.0000
0.15600,0.15600,44.8503,0.0000
0.15700,0.15700,45.1151,0.0000
0.15800,0.15800,45.3796,0.0000
0.15900,0.15900,45.6436,0.0000
0.16000,0.16000,45.9072,0.0000
0.16100,0.16100,46.1703,0.0000
0.16200,0.16200,46.4330,0.0000
0.16300,0.16300,46.6953,0.0000
0.16400,0.16400,46.9571,0.0000
0.16500,0.16500,47.2185,0.0000
0.16600,0.16600,47.4794,0.0000
0.16700,0.16700,47.7399,0.0000
0.16800,0.16800,47.9999,0.0000
0.16900,0.16900,48.2595,0.0000
0.17000,0.17000,48.5186,0.0000
0.17100,0.17100,48.7772,0.0000
0.17200,0.17200,49.0354,0.0000
0.17300,0.17300,49.2931,0.0000
0.17400,0.17400,49.5503,0.0000
0.17500,0.17500,49.8071,0.0000
0.17600,0.17600,50.0633,0.0000
0.17700,0.17700,50.3191,0.0000
0.17800,0.17800,50.5745,0.0000
0.17900,0.17900,50.8293,0.0000
0.18000,0.18000,51.0837,0.0000
0.18100,0.18100,51.3375,0.0000
0.18200,0.18200,51.5909,0.0000
0.18300,0.18300,51.8438,0.0000
0.18400,0.18400,52.0962,0.0000
0.18500,0.18500,52.3481,0.0000
0.18600,0.18600,52.5995,0.0000
0.18700,0.18700,52.8503,0.0000
0.18800,0.18800,53.1007,0.0000
0.18900,0.18900,53.3506,0.0000
0.19000,0.19000,53.5999,0.0000
0.19100,0.19100,53.8488,0.0000
0.19200,0.19200,54.0971,0.0000
0.19300,0.19300,54.3449,0.0000
0.19400,0.19400,54.5922,0.0000
0.19500,0.19500,54.8390,0.0000
0.19600,0.19600,55.0852,0.0000
0.19700,0.19700,55.3310,0.0000
0.19800,0.19800,55.5761,0.0000
0.19900,0.19900,55.8208,0.0000
0.20000,0.20000,56.0649,0.0000
0.20100,0.20100,56.3085,0.0000
0.20200,0.20200,56.5515,0.0000
0.20300,0.20300,56.7940,0.0000
0.20400,0.20400,57.0360,0.0000
0.20500,0.20500,57.2774,0.0000
0.20600,0.20600,57.5182,0.0000
0.20700,0.20700,57.7585,0.0000
0.20800,0.20800,57.9983,0.0000
0.20900,0.20900,58.2375,0.0000
0.21000,0.21000,58.4761,0.0000
0.21100,0.21100,58.7142,0.0000
0.21200,0.21200,58.9517,0.0000
0.21300,0.21300,59.1886,0.0000
0.21400,0.21400,59.4250,0.0000
0.21500,0.21500,59.6608,0.0000
0.21600,0.21600,59.8960,0.0000
0.21700,0.21700,60.1306,0.0000
0.21800,0.21800,60.3647,0.0000
0.21900,0.21900,60.5982,0.0000
0.22000,0.22000,60.8311,0.0000
0.22100,0.22100,61.0634,0.0000
0.22200,0.22200,61.2951,0.0000
0.22300,0.22300,61.5262,0.0000
0.22400,0.22400,61.7568,0.0000
0.22500,0.22500,61.9867,0.0000
0.22600,0.22600,62.2161,0.0000
0.22700,0.22700,62.4448,0.0000
0.22800,0.22800,62.6729,0.0000
0.22900,0.22900,62.9005,0.0000
0.23000,0.23000,63.1274,0.0000
0.23100,0.23100,63.3537,0.0000
0.23200,0.23200,63.5794,0.0000
0.23300,0.23300,63.8045,0.0000
0.23400,0.23400,64.0290,0.0000
0.23500,0.23500,64.2529,0.0000
0.23600,0.23600,64.4761,0.0000
0.23700,0.23700,64.6987,0.0000
0.23800,0.23800,64.9207,0.0000
0.23900,0.23900,65.1421,0.0000
0.24000,0.24000,65.3628,0.0000
0.24100,0.24100,65.5829,0.0000
0.24200,0.24200,65.8024,0.0000
0.24300,0.24300,66.0212,0.0000
0.24400,0.24400,66.2394,0.0000
0.24500,0.24500,66.4570,0.0000
0.24600,0.24600,66.6739,0.0000
0.24700,0.24700,66.8901,0.0000
0.24800,0.24800,67.1057,0.0000
0.24900,0.24900,67.3207,0.0000
0.25000,0.25000,67.5350,0.0000
0.25100,0.25100,67.7487,0.0000
0.25200,0.25200,67.9617,0.0000
0.25300,0.25300,68.1740,0.0000
0.25400,0.25400,68.3857,0.0000
0.25500,0.25500,68.5967,0.0000
0.25600,0.25600,68.8070,0.0000
0.25700,0.25700,69.0167,0.0000
0.25800,0.25800,69.2257,0.0000
0.25900,0.25900,69.4341,0.0000
0.26000,0.26000,69.6417,0.0000
0.26100,0.26100,69.8487,0.0000
0.26200,0.26200,70.0550,0.0000
0.26300,0.26300,70.2606,0.0000
0.26400,0.26400,70.4656,0.0000
0.26500,0.26500,70.6698,0.0000
0.26600,0.26600,70.8734,0.0000
0.26700,0.26700,71.0763,0.0000
0.26800,0.26800,71.2785,0.0000
0.26900,0.26900,71.4799,0.0000
0.27000,0.27000,71.6807,0.0000
0.27100,0.27100,71.8808,0.0000
0.27200,0.27200,72.0802,0.0000
0.27300,0.27300,72.2789,0.0000
0.27400,0.27400,72.4769,0.0000
0.27500,0.27500,72.6742,0.0000
0.27600,0.27600,72.8708,0.0000
0.27700,0.27700,73.0667,0.0000
0.27800,0.27800,73.2618,0.0000
0.27900,0.27900,73.4563,0.0000
0.28000,0.28000,73.6500,0.0000
0.28100,0.28100,73.8430,0.0000
0.28200,0.28200,74.0353,0.0000
0.28300,0.28300,74.2268,0.0000
0.28400,0.28400,74.4177,0.0000
0.28500,0.28500,74.6078,0.0000
0.28600,0.28600,74.7972,0.0000
0.28700,0.28700,74.9858,0.0000
0.28800,0.28800,75.1737,0.0000
0.28900,0.28900,75.3609,0.0000
0.29000,0.29000,75.5473,0.0000
0.29100,0.29100,75.7331,0.0000
0.29200,0.29200,75.9180,0.0000
0.29300,0.29300,76.1022,0.0000
0.29400,0.29400,76.2857,0.0000
0.29500,0.29500,76.4684,0.0000
0.29600,0.29600,76.6504,0.0000
0.29700,0.29700,76.8317,0.0000
0.29800,0.29800,77.0121,0.0000
0.29900,0.29900,77.1919,0.0000
0.30000,0.30000,77.3708,0.0000
0.30100,0.30100,77.5490,0.0000
0.30200,0.30200,77.7265,0.0000
0.30300,0.30300,77.9032,0.0000
0.30400,0.30400,78.0791,0.0000
0.30500,0.30500,78.2543,0.0000
0.30600,0.30600,78.4286,0.0000
0.30700,0.30700,78.6023,0.0000
0.30800,0.30800,78.7751,0.0000
0.30900,0.30900,78.9472,0.0000
0.31000,0.31000,79.1185,0.0000
0.31100,0.31100,79.2890,0.0000
0.31200,0.31200,79.4588,0.0000
